epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.936,3.88721,4.86604,1.6722,0.30773,0.3238,0.21368,0.04763,3.26588,1.82273,1.29668,0.067132,0.000332,0.000332
2,52.1365,2.83341,1.75706,1.15296,0.61563,0.56777,0.57631,0.21272,2.37996,1.31066,1.07263,0.0341318,0.000665171,0.000665171
3,74.0672,2.59186,1.58651,1.11413,0.68011,0.59685,0.62823,0.24771,2.23832,1.20455,1.04671,0.00113102,0.000997691,0.000997691
4,96.2473,2.43115,1.45204,1.06902,0.74034,0.69558,0.74408,0.32349,2.01151,1.07908,1.00705,0.000997803,0.000997803,0.000997803
5,117.993,2.25043,1.31077,1.03789,0.79255,0.72114,0.77457,0.32561,1.9659,1.1289,1.01592,0.000996097,0.000996097,0.000996097
6,140.348,2.14309,1.26063,1.01979,0.77897,0.76737,0.82119,0.38268,1.80037,0.9652,0.97023,0.000993906,0.000993906,0.000993906
7,161.99,2.05685,1.19201,1.00022,0.84854,0.80349,0.87378,0.40462,1.82155,0.93083,0.98755,0.000991232,0.000991232,0.000991232
8,184.204,2.03426,1.17332,0.99629,0.82383,0.77672,0.82598,0.3653,1.86103,1.00226,0.98077,0.000988079,0.000988079,0.000988079
9,206.882,1.98291,1.13345,0.98424,0.85095,0.81962,0.87088,0.42998,1.66329,0.88306,0.95439,0.000984449,0.000984449,0.000984449
10,237.955,1.91872,1.09938,0.97745,0.8479,0.77279,0.83103,0.39012,1.75882,0.92484,0.97373,0.000980345,0.000980345,0.000980345
11,283.186,1.9181,1.07823,0.97412,0.86613,0.81962,0.89675,0.46749,1.59177,0.84879,0.9408,0.000975773,0.000975773,0.000975773
12,328.378,1.86148,1.03763,0.96725,0.87321,0.84968,0.89936,0.45294,1.60963,0.83257,0.94126,0.000970736,0.000970736,0.000970736
13,373.471,1.82485,1.03554,0.95746,0.89553,0.84574,0.91936,0.47574,1.56721,0.80993,0.93041,0.000965239,0.000965239,0.000965239
14,417.664,1.81887,1.02335,0.95228,0.91801,0.85904,0.92586,0.46368,1.59972,0.8085,0.93485,0.000959289,0.000959289,0.000959289
15,460.639,1.78824,0.99218,0.94677,0.87869,0.8344,0.8963,0.4451,1.55632,0.83985,0.92081,0.000952889,0.000952889,0.000952889
16,503.575,1.75585,0.98587,0.95402,0.89717,0.84919,0.92317,0.48241,1.549,0.79645,0.93181,0.000946048,0.000946048,0.000946048
17,547.473,1.72685,0.96305,0.94355,0.90906,0.8819,0.93082,0.49225,1.50131,0.76464,0.92377,0.000938772,0.000938772,0.000938772
18,591.401,1.71721,0.97231,0.93795,0.91123,0.89543,0.94006,0.50943,1.4755,0.76613,0.9222,0.000931067,0.000931067,0.000931067
19,634.98,1.72293,0.94421,0.93718,0.92461,0.88854,0.94384,0.51466,1.46794,0.75124,0.91743,0.000922942,0.000922942,0.000922942
